delivery_id,customer_id,jumpman_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_Jumpman_arrived_at_pickup,when_the_Jumpman_left_pickup,when_the_Jumpman_arrived_at_dropoff,start - dropoff,as the bird flies distance,wasted time (leftpickup - started - howlong),Delivery Minutes
1271706,66556,154943,car,CVS Pharmacy,,,,,,40.74415746,-73.99198736,40.744079,-73.991519,10/1/14 12:07 AM,,,10/1/14 12:30 AM,0.015537928,0.000474883,#NUM!,#N/A
1271751,104131,124897,bicycle,Duane Reade,Drug Store,,,,,40.76321662,-73.9676128,40.76534,-73.9671058,10/1/14 12:26 AM,10/1/14 12:39 AM,10/1/14 12:59 AM,10/1/14 1:04 AM,0.026185532,0.002183066,0:33,4
1271867,121706,124897,bicycle,McDonald's,Fast Food,World Famous Fries,2,Snacks & Sides,,40.7567987,-73.98789883,40.756804,-73.9981532,10/1/14 1:00 AM,10/1/14 1:19 AM,10/1/14 1:36 AM,10/1/14 1:49 AM,0.034285637,0.010254375,0:36,12
1272279,304449,112830,bicycle,Friend of a Farmer,American,Bacon,1,Sides,09:08.8,40.73679404,-73.98679975,40.7330196,-73.98243623,10/1/14 8:46 AM,10/1/14 9:02 AM,10/1/14 9:16 AM,10/1/14 9:28 AM,0.029446296,0.005769457,0:20,12
1272303,107621,127812,bicycle,Duane Reade duplicate,Convenience Store,,,,,40.74317142,-73.98400362,40.744964,-73.985617,10/1/14 9:20 AM,10/1/14 9:26 AM,10/1/14 9:37 AM,10/1/14 9:39 AM,0.013426586,0.002411709,0:17,1
1272363,315298,67430,bicycle,16 East 11th street,,,,,,40.7333081,-73.99329582,40.710968,-74.0084713,10/1/14 10:02 AM,10/1/14 10:35 AM,10/1/14 10:44 AM,10/1/14 11:08 AM,0.045631748,0.02700695,0:41,24
1272372,55334,99219,bicycle,Dudley's,American,,,,12:01.7,40.71797301,-73.99038792,40.723324,-73.991335,10/1/14 10:07 AM,10/1/14 10:10 AM,10/1/14 10:32 AM,10/1/14 10:38 AM,0.021850197,0.005434158,0:13,6
1272382,118665,43955,bicycle,Trader Joe's,Grocery Store,Just Mango Slices,16,Fruits & Vegetables,,40.778504,-73.982092,40.7780948,-73.9627453,10/1/14 10:14 AM,10/1/14 10:29 AM,10/1/14 10:46 AM,10/1/14 10:59 AM,0.031463866,0.019351027,0:32,12
1272439,354016,99219,bicycle,Waverly Diner,American,Cappuccino,1,Gourmet Coffee,04:08.7,40.73301222,-74.00005605,40.7233295,-73.9915018,10/1/14 10:54 AM,10/1/14 11:08 AM,10/1/14 11:15 AM,10/1/14 11:24 AM,0.021190463,0.012920147,0:16,9
1272451,103329,30743,bicycle,Liquiteria,Juice Bar,,,,,40.740761,-74.001793,40.749403,-73.994049,10/1/14 10:59 AM,10/1/14 11:04 AM,10/1/14 11:11 AM,10/1/14 11:20 AM,0.014746875,0.011604038,0:12,9
