,,,,
"Census Counts, 2010",,,,
,,,,
Borough,Sex,Race/Ethnicity,Age Group,Population
Bronx,Male,"White, non-Hispanic",Less than 1,705
Bronx,Male,"White, non-Hispanic",1-4 yr,"2,509"
Bronx,Male,"White, non-Hispanic",5-9 yr,"2,995"
Bronx,Male,"White, non-Hispanic",10-11 yr,"1,153"
Bronx,Male,"White, non-Hispanic",12-14 yr,"1,741"
Bronx,Male,"White, non-Hispanic",15-17 yr,"1,827"
Bronx,Male,"White, non-Hispanic",18-19 yr,"2,407"
Bronx,Male,"White, non-Hispanic",20-24 yr,"5,368"
Bronx,Male,"White, non-Hispanic",25-29 yr,"4,849"
Bronx,Male,"White, non-Hispanic",30-34 yr,"4,551"
Bronx,Male,"White, non-Hispanic",35-39 yr,"4,353"
Bronx,Male,"White, non-Hispanic",40-44 yr,"4,749"
Bronx,Male,"White, non-Hispanic",45-49 yr,"5,289"
Bronx,Male,"White, non-Hispanic",50-54 yr,"5,394"
Bronx,Male,"White, non-Hispanic",55-59 yr,"5,389"
Bronx,Male,"White, non-Hispanic",60-64 yr,"5,155"
Bronx,Male,"White, non-Hispanic",65-69 yr,"3,918"
Bronx,Male,"White, non-Hispanic",70-74 yr,"3,193"
Bronx,Male,"White, non-Hispanic",75-79 yr,"2,857"
Bronx,Male,"White, non-Hispanic",80-84 yr,"2,575"
Bronx,Male,"White, non-Hispanic",85+ yr,"2,596"
Bronx,Male,"Black, non-Hispanic",Less than 1,"2,967"
Bronx,Male,"Black, non-Hispanic",1-4 yr,"11,830"
Bronx,Male,"Black, non-Hispanic",5-9 yr,"14,474"
Bronx,Male,"Black, non-Hispanic",10-11 yr,"5,935"
Bronx,Male,"Black, non-Hispanic",12-14 yr,"8,869"
Bronx,Male,"Black, non-Hispanic",15-17 yr,"10,264"
Bronx,Male,"Black, non-Hispanic",18-19 yr,"7,133"
Bronx,Male,"Black, non-Hispanic",20-24 yr,"15,864"
Bronx,Male,"Black, non-Hispanic",25-29 yr,"13,625"
Bronx,Male,"Black, non-Hispanic",30-34 yr,"12,517"
Bronx,Male,"Black, non-Hispanic",35-39 yr,"12,078"
Bronx,Male,"Black, non-Hispanic",40-44 yr,"13,925"
Bronx,Male,"Black, non-Hispanic",45-49 yr,"15,064"
Bronx,Male,"Black, non-Hispanic",50-54 yr,"13,330"
Bronx,Male,"Black, non-Hispanic",55-59 yr,"10,314"
Bronx,Male,"Black, non-Hispanic",60-64 yr,"8,015"
Bronx,Male,"Black, non-Hispanic",65-69 yr,"5,721"
Bronx,Male,"Black, non-Hispanic",70-74 yr,"3,896"
Bronx,Male,"Black, non-Hispanic",75-79 yr,"2,448"
Bronx,Male,"Black, non-Hispanic",80-84 yr,"1,620"
Bronx,Male,"Black, non-Hispanic",85+ yr,"1,356"
Bronx,Male,Hispanic,Less than 1,"6,458"
Bronx,Male,Hispanic,1-4 yr,"25,238"
Bronx,Male,Hispanic,5-9 yr,"30,037"
Bronx,Male,Hispanic,10-11 yr,"12,108"
Bronx,Male,Hispanic,12-14 yr,"18,269"
Bronx,Male,Hispanic,15-17 yr,"20,430"
Bronx,Male,Hispanic,18-19 yr,"14,530"
Bronx,Male,Hispanic,20-24 yr,"32,512"
Bronx,Male,Hispanic,25-29 yr,"28,466"
Bronx,Male,Hispanic,30-34 yr,"25,077"
Bronx,Male,Hispanic,35-39 yr,"22,652"
Bronx,Male,Hispanic,40-44 yr,"23,104"
Bronx,Male,Hispanic,45-49 yr,"21,678"
Bronx,Male,Hispanic,50-54 yr,"18,829"
Bronx,Male,Hispanic,55-59 yr,"14,777"
Bronx,Male,Hispanic,60-64 yr,"11,836"
Bronx,Male,Hispanic,65-69 yr,"8,318"
Bronx,Male,Hispanic,70-74 yr,"6,240"
Bronx,Male,Hispanic,75-79 yr,"4,075"
Bronx,Male,Hispanic,80-84 yr,"2,249"
Bronx,Male,Hispanic,85+ yr,"1,552"
Bronx,Male,"Asian/Pacific Islander, non-Hispanic",Less than 1,309
Bronx,Male,"Asian/Pacific Islander, non-Hispanic",1-4 yr,"1,240"
Bronx,Male,"Asian/Pacific Islander, non-Hispanic",5-9 yr,"1,593"
Bronx,Male,"Asian/Pacific Islander, non-Hispanic",10-11 yr,576
Bronx,Male,"Asian/Pacific Islander, non-Hispanic",12-14 yr,910
Bronx,Male,"Asian/Pacific Islander, non-Hispanic",15-17 yr,940
Bronx,Male,"Asian/Pacific Islander, non-Hispanic",18-19 yr,698
