,,,,
"Census Counts, 2010",,,,
,,,,
Neighborhood,Sex,Race/Ethnicity,Age Group,Population
101 Kingsbridge,Male,"White, non-Hispanic",Less than 1,235
101 Kingsbridge,Male,"White, non-Hispanic",1-4 yr,764
101 Kingsbridge,Male,"White, non-Hispanic",5-9 yr,684
101 Kingsbridge,Male,"White, non-Hispanic",10-11 yr,267
101 Kingsbridge,Male,"White, non-Hispanic",12-14 yr,349
101 Kingsbridge,Male,"White, non-Hispanic",15-17 yr,406
101 Kingsbridge,Male,"White, non-Hispanic",18-19 yr,522
101 Kingsbridge,Male,"White, non-Hispanic",20-24 yr,"1,102"
101 Kingsbridge,Male,"White, non-Hispanic",25-29 yr,966
101 Kingsbridge,Male,"White, non-Hispanic",30-34 yr,"1,100"
101 Kingsbridge,Male,"White, non-Hispanic",35-39 yr,"1,040"
101 Kingsbridge,Male,"White, non-Hispanic",40-44 yr,"1,086"
101 Kingsbridge,Male,"White, non-Hispanic",45-49 yr,"1,162"
101 Kingsbridge,Male,"White, non-Hispanic",50-54 yr,"1,192"
101 Kingsbridge,Male,"White, non-Hispanic",55-59 yr,"1,370"
101 Kingsbridge,Male,"White, non-Hispanic",60-64 yr,"1,443"
101 Kingsbridge,Male,"White, non-Hispanic",65-69 yr,"1,013"
101 Kingsbridge,Male,"White, non-Hispanic",70-74 yr,800
101 Kingsbridge,Male,"White, non-Hispanic",75-79 yr,701
101 Kingsbridge,Male,"White, non-Hispanic",80-84 yr,692
101 Kingsbridge,Male,"White, non-Hispanic",85+ yr,880
101 Kingsbridge,Male,"Black, non-Hispanic",Less than 1,41
101 Kingsbridge,Male,"Black, non-Hispanic",1-4 yr,165
101 Kingsbridge,Male,"Black, non-Hispanic",5-9 yr,239
101 Kingsbridge,Male,"Black, non-Hispanic",10-11 yr,108
101 Kingsbridge,Male,"Black, non-Hispanic",12-14 yr,160
101 Kingsbridge,Male,"Black, non-Hispanic",15-17 yr,168
101 Kingsbridge,Male,"Black, non-Hispanic",18-19 yr,128
101 Kingsbridge,Male,"Black, non-Hispanic",20-24 yr,264
101 Kingsbridge,Male,"Black, non-Hispanic",25-29 yr,283
101 Kingsbridge,Male,"Black, non-Hispanic",30-34 yr,288
101 Kingsbridge,Male,"Black, non-Hispanic",35-39 yr,280
101 Kingsbridge,Male,"Black, non-Hispanic",40-44 yr,300
101 Kingsbridge,Male,"Black, non-Hispanic",45-49 yr,317
